Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,3.5,+0.0,0.55,2,-28.25764091124318,-27.07690005632539,-26.581012684019587,-30.462634107900733
500,3.5,+0.0,0.55,10,-28.588051729887262,-27.5897427052927,-26.965229691378816,-29.88503689298209
500,3.5,+0.0,0.85,-1,-28.63064851781511,-26.942111563054976,-26.095121985847133,-30.615819550777147
500,3.5,+0.0,0.85,2,-28.1501138469285,-27.152437668595525,-26.672441522787413,-30.45584971336917
500,3.5,+0.0,0.85,10,-28.575521013032684,-27.614044780719187,-27.04449695707465,-29.805253124704684
500,3.5,+0.25,0.1,-1,-28.5153730390751,-27.302838485252643,-25.880171431704177,-30.53766318605151
500,3.5,+0.25,0.1,2,-28.239033831803564,-27.188830123283942,-26.41493411769929,-30.3882410886812
500,3.5,+0.25,0.1,10,-28.25052102583586,-27.576724506916218,-26.55474137876832,-30.104305454605218
500,3.5,+0.25,0.55,-1,-28.53041469843585,-27.053143838722278,-26.07401934534725,-30.55448370998873
500,3.5,+0.25,0.55,2,-28.255170864617387,-27.008948645536996,-26.580701576435438,-30.34537286779866
500,3.5,+0.25,0.55,10,-28.63172496962087,-27.5598709985282,-26.937079464678003,-29.739767226050212
500,3.5,+0.25,0.85,-1,-28.544839275182532,-27.01708138774398,-26.172820115973053,-30.57370757634053
500,3.5,+0.25,0.85,2,-28.29282657756592,-27.08154486320396,-26.65768052717557,-30.3151321723179
500,3.5,+0.25,0.85,10,-28.544538796742216,-27.52899498566602,-27.07521558472572,-29.630826224021067
500,3.5,+0.5,0.1,-1,-28.41114871432685,-27.271816988042268,-25.93789706930921,-30.486703010704773
500,3.5,+0.5,0.1,2,-28.211948007859075,-27.111781407603424,-26.46255313708179,-30.298233981484287
500,3.5,+0.5,0.1,10,-28.11933634904973,-27.554622470829642,-26.545228205175796,-30.018550959149366
500,3.5,+0.5,0.55,-1,-28.51773270925541,-27.03890725114738,-26.123051735490442,-30.50026982581415
500,3.5,+0.5,0.55,2,-28.19465759102677,-26.89977114489792,-26.57369445889752,-30.227414835498788
500,3.5,+0.5,0.55,10,-28.565871830224374,-27.489237155523334,-26.924609794128173,-29.610704046857744
